PLAYER_NAME,GAMES_PLAYED_TOTAL,TOTAL_SEASONS_PLAYED,TOTAL_PLAYOFF_SEASONS_PLAYED,GAMES_PLAYED_REGULAR_SEASON,GAMES_PLAYED_PLAYOFFS,REGULAR_SEASON_WINS,REGULAR_SEASON_WIN_PCT,TOTAL_FGA,TOTAL_FGM,TOTAL_FG_PCT,TOTAL_FG3A,TOTAL_FG3M,TOTAL_FG3_PCT,TOTAL_FTA,TOTAL_FTM,TOTAL_FT_PCT,PTS_AVE,OREB_AVE,DREB_AVE,REB_AVE,AST_AVE,STL_AVE,BLK_AVE,TOV_AVE,FOULS_AVE,FOULED_OUT_TOTAL,PTS_MAX,OREB_MAX,DREB_MAX,REB_MAX,AST_MAX,STL_MAX,BLK_MAX,TOV_MAX
Kobe Bryant,1566,20,15,1346,220,836,0.62109953,30699.0,13733.0,0.44734356167953354,6428.0,2119.0,0.32965152457996266,11628.0,9698.0,0.8340213278293773,25.084929757343552,1.1040868454661559,4.110472541507025,5.21455938697318,4.6909323116219666,1.4393358876117497,0.5006385696040868,2.973818646232439,2.5625798212005106,21,81.0,9.0,13.0,16.0,17.0,7.0,5.0,11.0
Lebron James,1924,23,19,1622,302,1048,0.6461159,37669.0,19016.0,0.5048182855929279,9060.0,3133.0,0.3458057395143488,14633.0,10796.0,0.7377844597826829,27.006756756756758,1.1891891891891893,6.497920997920998,7.6871101871101875,7.372141372141372,1.5192307692307692,0.7650727650727651,3.5005197505197505,1.8404365904365905,8,61.0,8.0,19.0,20.0,19.0,7.0,5.0,11.0
Michael Jordan,1251,15,13,1072,179,706,0.6585821,29034.0,14380.0,0.4952813942274575,2224.0,729.0,0.3277877697841727,10538.0,8790.0,0.834124122224331,30.598721023181454,1.577138289368505,4.677058353317346,6.2541966426858515,5.319744204636291,2.3101518784972024,0.8401278976818545,2.773780975219824,2.657074340527578,14,69.0,8.0,15.0,19.0,17.0,10.0,6.0,9.0
